"tjedan","n_infl","doseg_infl","doseg_hnb","pi","d_pi","neg","hhi","euro","ocekivanja"
2021-01-04,742,2065,3366,1.72,0,0.4412,0.06278,0,22.44
2021-01-11,778,2865,2823,1.93,0.21,0.3152,0.06492,0,24.04
2021-01-18,849,3032,2778,2.05,0.12,0.2626,0.06449,0,17.35
2021-01-25,872,2218,3133,2.35,0.3,0.324,0.05662,0,19.97
2021-02-01,858,3877,2543,2.36,0.01,0.3938,0.06504,0,19.34
2021-02-08,926,2367,2919,2.82,0.46,0.2573,0.06324,0,25.58
2021-02-15,931,2434,2889,2.7,-0.12,0.3574,0.06263,0,22.93
2021-02-22,936,3094,2787,2.79,0.09,0.3088,0.06079,0,24.41
2021-03-01,895,2692,2392,2.4,-0.39,0.3684,0.06688,0,24.06
2021-03-08,960,3147,2974,3.23,0.83,0.3479,0.06755,0,24.36
2021-03-15,987,2398,2446,3.14,-0.09,0.3393,0.07109,0,25.04
2021-03-22,1012,2437,2475,3.11,-0.03,0.3494,0.07057,0,20.56
2021-03-29,958,2825,3459,2.85,-0.26,0.377,0.06106,0,22.86
2021-04-05,988,2582,2303,2.73,-0.12,0.2688,0.06665,0,25.68
2021-04-12,936,2718,2705,2.77,0.04,0.3302,0.06818,0,24.56
2021-04-19,940,3273,2301,2.88,0.11,0.3126,0.06503,0,24.28
2021-04-26,1019,2517,2726,3.27,0.39,0.3617,0.06203,0,24.6
2021-05-03,997,2956,2756,3.01,-0.26,0.3445,0.06321,0,23.55
2021-05-10,976,2767,2889,2.85,-0.16,0.3172,0.07036,0,23.83
2021-05-17,980,3105,2848,3,0.15,0.2894,0.06636,0,24.61
2021-05-24,1033,3293,3544,3.47,0.47,0.4204,0.06672,0,27.9
2021-05-31,982,3072,2747,2.97,-0.5,0.2336,0.05847,0,24.71
2021-06-07,1017,2343,2672,3.23,0.26,0.3077,0.06045,0,26.34
2021-06-14,866,2501,3068,2.67,-0.56,0.3038,0.05865,0,27.93
2021-06-21,998,2710,3000,2.81,0.14,0.2726,0.06769,0,25.68
2021-06-28,928,2894,2591,3.01,0.2,0.2851,0.06905,0,27.33
2021-07-05,884,2731,3180,2.39,-0.62,0.2874,0.06035,0,21.7
2021-07-12,957,2789,2623,2.82,0.43,0.3595,0.06103,0,26.04
2021-07-19,911,2297,2544,2.84,0.02,0.2539,0.06093,0,27.08
2021-07-26,914,2554,2958,2.48,-0.36,0.2607,0.06116,0,26.38
2021-08-02,953,2079,3431,2.73,0.25,0.3254,0.0661,0,25.14
2021-08-09,882,2514,2808,2.47,-0.26,0.2527,0.06367,0,23.98
2021-08-16,894,3162,2518,2.29,-0.18,0.3575,0.06241,0,19.36
2021-08-23,877,3228,3478,2.68,0.39,0.2811,0.06243,0,22.79
2021-08-30,986,2685,2138,3.2,0.52,0.2915,0.05821,0,23.28
2021-09-06,1040,2935,2384,2.9,-0.3,0.2942,0.06173,0,20.94
