"geo","god","inflacija","nezaposlenost","zemlja","razdoblje"
"AT",2014,1.5,6,"Austrija","prije"
"AT",2015,0.8,6.1,"Austrija","prije"
"AT",2016,1,6.5,"Austrija","prije"
"AT",2017,2.2,5.9,"Austrija","prije"
"AT",2018,2.1,5.2,"Austrija","prije"
"AT",2019,1.5,4.8,"Austrija","prije"
"AT",2020,1.4,6,"Austrija",NA
"AT",2021,2.8,6.2,"Austrija","poslije"
"AT",2022,8.6,4.8,"Austrija","poslije"
"AT",2023,7.7,5.1,"Austrija","poslije"
"AT",2024,2.9,5.2,"Austrija","poslije"
"BE",2014,0.5,8.7,"Belgija","prije"
"BE",2015,0.6,8.7,"Belgija","prije"
"BE",2016,1.8,7.9,"Belgija","prije"
"BE",2017,2.2,7.2,"Belgija","prije"
"BE",2018,2.3,6,"Belgija","prije"
"BE",2019,1.2,5.5,"Belgija","prije"
"BE",2020,0.4,5.8,"Belgija",NA
"BE",2021,3.2,6.3,"Belgija","poslije"
"BE",2022,10.3,5.6,"Belgija","poslije"
"BE",2023,2.3,5.5,"Belgija","poslije"
"BE",2024,4.3,5.7,"Belgija","poslije"
"CY",2014,-0.3,16.1,"Cipar","prije"
"CY",2015,-1.5,15,"Cipar","prije"
"CY",2016,-1.2,13,"Cipar","prije"
"CY",2017,0.7,11.1,"Cipar","prije"
"CY",2018,0.8,8.4,"Cipar","prije"
"CY",2019,0.5,7.2,"Cipar","prije"
"CY",2020,-1.1,7.6,"Cipar",NA
"CY",2021,2.3,7.2,"Cipar","poslije"
"CY",2022,8.1,6.3,"Cipar","poslije"
"CY",2023,3.9,5.8,"Cipar","poslije"
"CY",2024,2.3,4.8,"Cipar","poslije"
"DE",2014,0.8,4.7,"Njemačka","prije"
"DE",2015,0.7,4.4,"Njemačka","prije"
"DE",2016,0.4,3.9,"Njemačka","prije"
"DE",2017,1.7,3.5,"Njemačka","prije"
"DE",2018,1.9,3.2,"Njemačka","prije"
"DE",2019,1.4,2.9,"Njemačka","prije"
"DE",2020,0.4,3.6,"Njemačka",NA
"DE",2021,3.2,3.6,"Njemačka","poslije"
"DE",2022,8.7,3.1,"Njemačka","poslije"
"DE",2023,6,3.1,"Njemačka","poslije"
"DE",2024,2.5,3.5,"Njemačka","poslije"
"EE",2014,0.5,7.3,"Estonija","prije"
"EE",2015,0.1,6.4,"Estonija","prije"
"EE",2016,0.8,6.8,"Estonija","prije"
"EE",2017,3.7,5.8,"Estonija","prije"
"EE",2018,3.4,5.4,"Estonija","prije"
"EE",2019,2.3,4.5,"Estonija","prije"
"EE",2020,-0.6,6.9,"Estonija",NA
"EE",2021,4.5,6.2,"Estonija","poslije"
"EE",2022,19.4,5.6,"Estonija","poslije"
"EE",2023,9.1,6.4,"Estonija","poslije"
"EE",2024,3.7,7.6,"Estonija","poslije"
"EL",2014,-1.4,26.6,"Grčka","prije"
"EL",2015,-1.1,25,"Grčka","prije"
"EL",2016,0,23.9,"Grčka","prije"
"EL",2017,1.1,21.8,"Grčka","prije"
"EL",2018,0.8,19.7,"Grčka","prije"
"EL",2019,0.5,17.9,"Grčka","prije"
"EL",2020,-1.3,17.6,"Grčka",NA
"EL",2021,0.6,14.7,"Grčka","poslije"
"EL",2022,9.3,12.5,"Grčka","poslije"
"EL",2023,4.2,11.1,"Grčka","poslije"
"EL",2024,3,10.1,"Grčka","poslije"
"ES",2014,-0.2,24.5,"Španjolska","prije"
"ES",2015,-0.6,22.1,"Španjolska","prije"
"ES",2016,-0.3,19.6,"Španjolska","prije"
"ES",2017,2,17.2,"Španjolska","prije"
"ES",2018,1.7,15.3,"Španjolska","prije"
"ES",2019,0.8,14.1,"Španjolska","prije"
"ES",2020,-0.3,15.5,"Španjolska",NA
"ES",2021,3,14.9,"Španjolska","poslije"
"ES",2022,8.3,13,"Španjolska","poslije"
"ES",2023,3.4,12.2,"Španjolska","poslije"
"ES",2024,2.9,11.4,"Španjolska","poslije"
"FI",2014,1.2,8.7,"Finska","prije"
"FI",2015,-0.2,9.4,"Finska","prije"
"FI",2016,0.4,8.9,"Finska","prije"
"FI",2017,0.8,8.7,"Finska","prije"
"FI",2018,1.2,7.5,"Finska","prije"
"FI",2019,1.1,6.8,"Finska","prije"
"FI",2020,0.4,7.7,"Finska",NA
"FI",2021,2.1,7.7,"Finska","poslije"
"FI",2022,7.2,6.8,"Finska","poslije"
"FI",2023,4.3,7.2,"Finska","poslije"
"FI",2024,1,8.4,"Finska","poslije"
"FR",2014,0.6,10.3,"Francuska","prije"
"FR",2015,0.1,10.3,"Francuska","prije"
"FR",2016,0.3,10.1,"Francuska","prije"
"FR",2017,1.2,9.4,"Francuska","prije"
"FR",2018,2.1,9,"Francuska","prije"
