"geo","god","inflacija"
"AL",2017,3.2
"AL",2018,1.8
"AL",2019,1.7
"AL",2020,2.2
"AL",2021,2.3
"AL",2022,6.6
"AL",2023,5.3
"AL",2024,2.6
"AT",2014,1.5
"AT",2015,0.8
"AT",2016,1
"AT",2017,2.2
"AT",2018,2.1
"AT",2019,1.5
"AT",2020,1.4
"AT",2021,2.8
"AT",2022,8.6
"AT",2023,7.7
"AT",2024,2.9
"BE",2014,0.5
"BE",2015,0.6
"BE",2016,1.8
"BE",2017,2.2
"BE",2018,2.3
"BE",2019,1.2
"BE",2020,0.4
"BE",2021,3.2
"BE",2022,10.3
"BE",2023,2.3
"BE",2024,4.3
"BG",2014,-1.6
"BG",2015,-1.1
"BG",2016,-1.3
"BG",2017,1.2
"BG",2018,2.6
"BG",2019,2.5
"BG",2020,1.2
"BG",2021,2.8
"BG",2022,13
"BG",2023,8.6
"BG",2024,2.6
"CH",2014,0
"CH",2015,-0.8
"CH",2016,-0.5
"CH",2017,0.6
"CH",2018,0.9
"CH",2019,0.4
"CH",2020,-0.8
"CH",2021,0.5
"CH",2022,2.7
"CH",2023,2.3
"CH",2024,1.1
"CY",2014,-0.3
"CY",2015,-1.5
"CY",2016,-1.2
"CY",2017,0.7
"CY",2018,0.8
"CY",2019,0.5
"CY",2020,-1.1
"CY",2021,2.3
"CY",2022,8.1
"CY",2023,3.9
"CY",2024,2.3
"CZ",2014,0.4
"CZ",2015,0.3
"CZ",2016,0.6
"CZ",2017,2.4
"CZ",2018,2
"CZ",2019,2.6
"CZ",2020,3.3
"CZ",2021,3.3
"CZ",2022,14.8
"CZ",2023,12
"CZ",2024,2.7
"DE",2014,0.8
"DE",2015,0.7
"DE",2016,0.4
"DE",2017,1.7
"DE",2018,1.9
"DE",2019,1.4
"DE",2020,0.4
"DE",2021,3.2
"DE",2022,8.7
"DE",2023,6
"DE",2024,2.5
"DK",2014,0.4
"DK",2015,0.2
"DK",2016,0
"DK",2017,1.1
"DK",2018,0.7
"DK",2019,0.7
"DK",2020,0.3
"DK",2021,1.9
"DK",2022,8.5
"DK",2023,3.4
"DK",2024,1.3
"EA",2014,0.4
"EA",2015,0.2
"EA",2016,0.2
"EA",2017,1.5
"EA",2018,1.8
"EA",2019,1.2
"EA",2020,0.3
"EA",2021,2.6
"EA",2022,8.4
"EA",2023,5.4
"EA",2024,2.4
"EA19",2014,0.4
"EA19",2015,0.2
"EA19",2016,0.2
"EA19",2017,1.5
"EA19",2018,1.8
"EA19",2019,1.2
"EA19",2020,0.3
"EA19",2021,2.6
"EA19",2022,8.4
"EA19",2023,5.4
"EA19",2024,2.4
"EA20",2014,0.4
"EA20",2015,0.2
"EA20",2016,0.2
"EA20",2017,1.5
"EA20",2018,1.8
"EA20",2019,1.2
"EA20",2020,0.3
"EA20",2021,2.6
"EA20",2022,8.4
"EA20",2023,5.4
"EA20",2024,2.4
"EE",2014,0.5
"EE",2015,0.1
"EE",2016,0.8
"EE",2017,3.7
"EE",2018,3.4
"EE",2019,2.3
"EE",2020,-0.6
"EE",2021,4.5
"EE",2022,19.4
"EE",2023,9.1
"EE",2024,3.7
"EEA",2014,0.6
"EEA",2015,0.1
"EEA",2016,0.3
"EEA",2017,1.7
"EEA",2018,1.9
"EEA",2019,1.5
"EEA",2020,0.7
"EEA",2021,2.9
"EEA",2022,9.2
"EEA",2023,6.4
"EEA",2024,2.6
"EL",2014,-1.4
"EL",2015,-1.1
