oznaka,id_kucanstva,zemlja,dohodak_eur,clanova,status
OGRANICENO-NE-DIJELITI,HR-0001,HR,18400,3,zaposlen
OGRANICENO-NE-DIJELITI,HR-0002,HR,11250,2,umirovljenik
OGRANICENO-NE-DIJELITI,HR-0003,HR,27900,4,zaposlen
OGRANICENO-NE-DIJELITI,SI-0001,SI,31200,2,zaposlen
OGRANICENO-NE-DIJELITI,SI-0002,SI,14700,1,nezaposlen
OGRANICENO-NE-DIJELITI,EL-0001,EL,9800,3,nezaposlen
OGRANICENO-NE-DIJELITI,EL-0002,EL,16400,2,zaposlen
OGRANICENO-NE-DIJELITI,DE-0001,DE,44100,2,zaposlen
OGRANICENO-NE-DIJELITI,DE-0002,DE,22300,1,umirovljenik
OGRANICENO-NE-DIJELITI,PT-0001,PT,15900,3,zaposlen
